brand, product_name, shipping
GIGABYTE,GIGABYTE GeForce GTX 1050 Ti DirectX 12 GV-N105TWF2OC-4GD Video Card,$4.99 Shipping
EVGA,EVGA GeForce GTX 1060 GAMING DirectX 12 06G-P4-6262-KR Video Card,$4.99 Shipping
ASUS,ASUS ROG GeForce GTX 1070 STRIX-GTX1070-O8G-GAMING Video Card with RGB Lighting,$3.99 Shipping
MSI,MSI GeForce GTX 1070 DirectX 12 GeForce GTX 1070 Quick Silver 8G OC Video Card,$3.99 Shipping
XFX,XFX Radeon RX 550 DirectX 12 RX-550P4TFG5 Video Card,$3.99 Shipping
ZOTAC,ZOTAC GeForce GTX 1080 Ti AMP Edition 11GB GDDR5X 352-bit Gaming Graphics Card VR Ready 16+2 Power Phase Freeze Fan Stop IceStorm Cooling Spectra Lighting ZT-P10810D-10P,Free Shipping
EVGA,EVGA GeForce GTX 1070 SC GAMING ACX 3.0 Black Edition| 08G-P4-5173-KR| 8GB GDDR5| LED| DX12 OSD Support (PXOC),$4.99 Shipping
GIGABYTE,GIGABYTE Radeon RX 460 DirectX 12 GV-RX460WF2OC-4GD Video Card,Free Shipping
XFX,XFX Radeon RX 460 DirectX 12 RX-460P4DFG5 Video Card,$3.99 Shipping
MSI,MSI Radeon RX 550 DirectX 12 RX 550 AERO ITX 2G O 2GB 128-Bit GDDR5 PCI Express x16 (uses x8) HDCP Ready Video Card,$3.99 Shipping
ZOTAC,ZOTAC GeForce GTX 1080 Ti AMP Extreme 11GB GDDR5X 352-bit Gaming Graphics Card VR Ready 16+2 Power Phase Freeze Fan Stop IceStorm Cooling Spectra Lighting ZT-P10810C-10P,$4.99 Shipping
ASUS,ASUS GeForce GTX 1060 DUAL-GTX1060-O3G Video Card,$3.99 Shipping
